Weather,Total,Temperature,Humidity,TotalSpent_RM,TimeSpent_minutes
Mostly cloudy,39,27.0,82.0,13.923076923076923,39.0
Thunderstorms,78,28.0,78.84615384615384,13.666666666666666,33.53846153846154
Light rain,138,27.456521739130434,83.0,13.920289855072463,36.70289855072464
Dense fog,217,28.0,82.39170506912443,14.23963133640553,35.75115207373272
Passing clouds,743,28.064602960969044,78.78600269179005,13.998654104979812,35.302826379542395
Partly cloudy,2785,27.80682226211849,79.45314183123878,14.176660682226212,35.708078994614006
